run_id,game,steering,scope,layer,episode,gbs_converged,gbs_converged_round,max_guess,max_reward,mean_contribution,mean_guess,mean_guess_error,mean_reward,min_guess,n_steps,parse_retries_total,player_0_reward
exp_activation_all_l10,beauty_contest,activation,all,10,2,False,,20.0,0.25,,10.6,3.5333333333333337,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,20,False,,33.0,0.5,,15.8,5.266666666666666,0.25,7.0,20,0,0.0
exp_activation_all_l10,beauty_contest,activation,all,10,21,False,,33.0,0.25,,12.0,4.000000000000002,0.25,5.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,22,False,,33.0,1.0,,15.2,5.066666666666666,0.25,6.0,20,0,0.0
exp_activation_all_l10,beauty_contest,activation,all,10,23,False,,33.0,0.25,,12.0,4.000000000000002,0.25,5.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,24,False,,25.0,1.0,,15.2,5.066666666666669,0.25,9.0,20,0,0.0
exp_activation_all_l10,beauty_contest,activation,all,10,25,False,,33.0,0.25,,11.85,3.9499999999999984,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,26,False,,33.0,1.0,,11.95,3.983333333333333,0.25,4.0,20,0,0.0
exp_activation_all_l10,beauty_contest,activation,all,10,27,False,,33.0,0.25,,11.85,3.9499999999999984,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,28,False,,33.0,0.25,,11.85,3.9499999999999984,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,29,False,,20.0,0.25,,10.6,3.5333333333333337,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,3,False,,33.0,0.25,,11.85,3.9499999999999984,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,30,False,,33.0,0.25,,11.85,3.9499999999999984,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,31,False,,33.0,0.5,,16.15,5.383333333333335,0.25,7.0,20,0,0.5
exp_activation_all_l10,beauty_contest,activation,all,10,32,False,,20.0,0.25,,10.6,3.5333333333333337,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,33,False,,33.0,0.25,,11.85,3.9499999999999984,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,34,False,,33.0,0.25,,15.45,5.15,0.25,7.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,35,False,,33.0,0.5,,15.8,5.266666666666667,0.25,7.0,20,0,0.5
exp_activation_all_l10,beauty_contest,activation,all,10,36,False,,33.0,1.0,,16.2,5.3999999999999995,0.25,6.0,20,0,1.0
exp_activation_all_l10,beauty_contest,activation,all,10,37,False,,20.0,0.25,,10.6,3.5333333333333337,0.25,4.0,20,0,0.25
exp_activation_all_l10,beauty_contest,activation,all,10,38,False,,33.0,1.0,,16.1,5.366666666666668,0.25,6.0,20,0,0.0
exp_activation_all_l10,beauty_contest,activation,all,10,39,False,,25.0,1.0,,15.2,5.066666666666669,0.25,9.0,20,0,0.0
